[jnyz-app/server]2024/05/19 - 21:35:14.578	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:55	accept tcp [::]:9999: use of closed network connection
[jnyz-app/server]2024/05/19 - 21:52:41.476	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:49	accept tcp [::]:9999: use of closed network connection
[jnyz-app/server]2024/05/19 - 21:56:54.094	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:56:54.177	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:56:54.209	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:57:34.235	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:57:34.318	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:57:34.350	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:21.445	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:21.518	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:21.564	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:56.567	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:56.606	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 21:58:56.634	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:00:34.802	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:00:34.895	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:00:34.914	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:00:37.858	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
